一 yī  
乙 yǐ  
二 èr  
十 shí  
丁 dīng  
厂 chǎng  
七 qī  
卜 bǔ  
人 rén  
入 rù  
八 bā  
九 jiǔ  
几 jǐ  
儿 ér  
了 le  
力 lì  
乃 nǎi  
刀 dāo  
又 yòu  
三 sān  
于 yú  
干 gān  
亏 kuī  
士 shì  
工 gōng  
土 tǔ  
才 cái  
寸 cùn  
下 xià  
大 dà  
丈 zhàng  
与 yǔ  
万 wàn  
上 shàng  
小 xiǎo  
口 kǒu  
巾 jīn  
山 shān  
千 qiān  
乞 qǐ  
川 chuān  
亿 yì  
个 gè  
勺 sháo  
久 jiǔ  
凡 fán  
及 jí  
夕 xī  
丸 wán  
么 me  
广 guǎng  
亡 wáng  
门 mén  
义 yì  
之 zhī  
尸 shī  
弓 gōng  
己 jǐ  
已 yǐ  
子 zǐ  
卫 wèi  
也 yě  
女 nǚ  
飞 fēi  
刃 rèn  
习 xí  
叉 chā  
马 mǎ  
乡 xiāng
