瑞 ruì  
魂 hún  
肆 sì  
摄 shè  
摸 mō  
填 tián  
搏 bó  
塌 tā  
鼓 gǔ  
摆 bǎi  
携 xié  
搬 bān  
摇 yáo  
搞 gǎo  
塘 táng  
摊 tān  
蒜 suàn  
勤 qín  
鹊 què  
蓝 lán  
墓 mù  
幕 mù  
蓬 péng  
蓄 xù  
蒙 méng  
蒸 zhēng  
献 xiàn  
禁 jìn  
楚 chǔ  
想 xiǎng  
槐 huái  
榆 yú  
楼 lóu  
概 gài  
赖 lài  
酬 chóu  
感 gǎn  
碍 ài  
碑 bēi  
碎 suì  
碰 pèng  
碗 wǎn  
碌 lù  
雷 léi  
零 líng  
雾 wù  
雹 báo  
输 shū  
督 dū  
龄 líng  
鉴 jiàn  
睛 jīng  
睡 shuì  
睬 cǎi  
鄙 bǐ  
愚 yú  
暖 nuǎn  
盟 méng  
歇 xiē  
暗 àn  
照 zhào  
跨 kuà  
跳 tiào  
跪 guì  
路 lù  
跟 gēn  
遣 qiǎn  
蛾 é  
蜂 fēng  
嗓 sǎng  
置 zhì  
罪 zuì  
罩 zhào  
错 cuò  
锡 xī  
锣 luó  
锤 chuí  
锦 jǐn  
键 jiàn  
锯 jù  
矮 ǎi  
辞 cí  
稠 chóu  
愁 chóu  
筹 chóu  
签 qiān  
简 jiǎn  
毁 huǐ  
舅 jiù  
鼠 shǔ  
催 cuī  
傻 shǎ  
像 xiàng  
躲 duǒ  
微 wēi  
愈 yù  
遥 yáo  
腰 yāo  
腥 xīng  
腹 fù  
腾 téng  
腿 tuǐ  
触 chù  
解 jiě  
酱 jiàng  
痰 tán  
廉 lián  
新 xīn  
韵 yùn  
意 yì  
粮 liáng  
数 shù  
煎 jiān  
塑 sù  
慈 cí  
煤 méi  
煌 huáng  
满 mǎn  
漠 mò  
源 yuán  
滤 lǜ  
滥 làn  
滔 tāo  
溪 xī  
溜 liū  
滚 gǔn  
滨 bīn  
粱 liáng  
滩 tān  
慎 shèn  
誉 yù  
塞 sāi  
谨 jǐn  
福 fú  
群 qún  
殿 diàn  
辟 pì  
障 zhàng  
嫌 xián  
嫁 jià  
叠 dié  
缝 féng  
缠 chán
