操	cāo
燕	yàn
薯	shǔ
薪	xīn
薄	báo
颠	diān
橘	jú
整	zhěng
融	róng
醒	xǐng
餐	cān
嘴	zuǐ
蹄	tí
器	qì
赠	zèng
默	mò
镜	jìng
赞	zàn
篮	lán
邀	yāo
衡	héng
膨	péng
雕	diāo
磨	mó
凝	níng
辨	biàn
辩	biàn
糖	táng
糕	gāo
燃	rán
澡	zǎo
激	jī
懒	lǎn
壁	bì
避	bì
缴	jiǎo
戴	dài
擦	cā
辫	biàn
糟	zāo
燥	zào
臂	bì
翼	yì
骤	zhòu
鞭	biān
覆	fù
蹦	bèng
镰	lián
翻	fān
鹰	yīng
警	jǐng
攀	pān
蹲	dūn
颤	chàn
瓣	bàn
爆	bào
疆	jiāng
壤	rǎng
耀	yào
躁	zào
嚼	jiáo
嚷	rǎng
籍	jí
魔	mó
灌	guàn
蠢	chǔn
霸	bà
露	lù
囊	náng
罐	guàn
鞠	jū
藏	cáng
霜	shuāng
霞	xiá
瞧	qiáo
蹈	dǎo
螺	luó
穗	suì
繁	fán
赢	yíng
糠	kāng
