玉 yù  
刊 kān  
示 shì  
末 mò  
未 wèi  
击 jī  
打 dǎ  
巧 qiǎo  
正 zhèng  
扑 pū  
扒 bā  
功 gōng  
扔 rēng  
去 qù  
甘 gān  
世 shì  
古 gǔ  
节 jié  
本 běn  
术 shù  
可 kě  
丙 bǐng  
左 zuǒ  
厉 lì  
石 shí  
右 yòu  
布 bù  
龙 lóng  
平 píng  
灭 miè  
轧 yà  
东 dōng  
卡 kǎ  
北 běi  
占 zhān  
业 yè  
旧 jiù  
帅 shuài  
归 guī  
且 qiě  
旦 dàn  
目 mù  
叶 yè  
甲 jiǎ  
申 shēn  
叮 dīng  
电 diàn  
号 hào  
田 tián  
由 yóu  
只 zhǐ  
史 shǐ  
央 yāng  
兄 xiōng  
叼 diāo
叫 jiào  
另 lìng  
叨 dāo  
叹 tàn  
四 sì  
生 shēng  
失 shī  
禾 hé  
丘 qiū  
付 fù  
仗 zhàng  
代 dài  
仙 xiān  
们 men  
仪 yí  
白 bái  
仔 zǐ  
他 tā  
斥 chì  
瓜 guā  
乎 hū  
丛 cóng  
令 lìng  
用 yòng  
甩 shuǎi  
印 yìn  
乐 lè  
句 jù  
匆 cōng  
册 cè  
犯 fàn  
外 wài  
处 chù  
冬 dōng  
鸟 niǎo  
务 wù  
包 bāo
饥 jī  
主 zhǔ  
市 shì  
立 lì  
闪 shǎn  
兰 lán  
半 bàn  
汁 zhī  
汇 huì  
头 tóu  
汉 hàn  
宁 níng  
穴 xué  
它 tā  
讨 tǎo  
写 xiě  
让 ràng  
礼 lǐ  
训 xùn  
议 yì  
必 bì  
讯 xùn  
记 jì  
永 yǒng  
司 sī  
尼 ní  
民 mín  
出 chū  
辽 liáo  
奶 nǎi  
奴 nú  
加 jiā  
召 zhào  
皮 pí  
边 biān  
发 fā  
孕 yùn  
圣 shèng  
对 duì  
台 tái  
矛 máo  
纠 jiū  
母 mǔ  
幼 yòu  
丝 sī 
夯 hāng
叭 bā 
叽 jī 
尔 ěr  
卯 mǎo  
弗 fú  
弘 hóng 
