式 shì  
刑 xíng  
动 dòng  
扛 káng  
寺 sì  
吉 jí  
扣 kòu  
考 kǎo  
托 tuō  
老 lǎo  
执 zhí  
巩 gǒng  
圾 jī  
扩 kuò  
扫 sǎo  
地 dì  
扬 yáng  
场 chǎng  
耳 ěr  
共 gòng  
芒 máng  
亚 yà  
芝 zhī  
朽 xiǔ  
朴 pǔ  
机 jī  
权 quán  
过 guò  
臣 chén  
再 zài  
协 xié  
西 xī  
压 yā  
厌 yàn  
在 zài  
有 yǒu  
百 bǎi  
存 cún  
而 ér  
页 yè  
匠 jiàng  
夸 kuā  
夺 duó  
灰 huī  
达 dá  
列 liè  
死 sǐ  
成 chéng  
夹 jiā  
轨 guǐ  
邪 xié  
划 huà  
迈 mài  
毕 bì  
至 zhì  
此 cǐ  
贞 zhēn  
师 shī  
尘 chén  
尖 jiān  
劣 liè  
光 guāng  
当 dāng  
早 zǎo  
吐 tǔ  
吓 xià
虫 chóng  
曲 qǔ  
团 tuán  
同 tóng  
吊 diào  
吃 chī  
因 yīn  
吸 xī  
吗 ma  
屿 yǔ  
帆 fān  
岁 suì  
回 huí  
岂 qǐ  
刚 gāng  
则 zé  
肉 ròu  
网 wǎng  
年 nián  
朱 zhū  
先 xiān  
丢 diū  
舌 shé  
竹 zhú  
迁 qiān  
乔 qiáo  
伟 wěi  
传 chuán  
乒 pīng  
乓 pāng  
休 xiū  
伍 wǔ  
伏 fú  
优 yōu  
伐 fá  
延 yán  
件 jiàn  
任 rèn  
伤 shāng  
价 jià  
份 fèn  
华 huá  
仰 yǎng  
仿 fǎng  
伙 huǒ  
伪 wěi  
自 zì  
血 xuè  
向 xiàng  
似 sì  
后 hòu  
行 xíng  
舟 zhōu  
全 quán  
会 huì  
杀 shā  
合 hé  
兆 zhào  
企 qǐ  
众 zhòng  
爷 yé  
伞 sǎn  
创 chuàng  
肌 jī  
朵 duǒ  
杂 zá  
危 wēi  
旬 xún  
旨 zhǐ  
负 fù  
各 gè  
名 míng  
多 duō  
争 zhēng  
色 sè  
壮 zhuàng  
冲 chōng  
冰 bīng  
庄 zhuāng  
庆 qìng  
亦 yì  
刘 liú  
齐 qí  
交 jiāo  
次 cì  
衣 yī  
产 chǎn  
决 jué  
充 chōng  
妄 wàng  
闭 bì  
问 wèn  
闯 chuǎng  
羊 yáng  
并 bìng  
关 guān  
米 mǐ  
灯 dēng  
州 zhōu  
汗 hàn  
污 wū  
江 jiāng  
池 chí  
汤 tāng  
忙 máng  
兴 xīng  
宇 yǔ  
守 shǒu  
宅 zhái  
字 zì
安 ān  
讲 jiǎng  
军 jūn  
许 xǔ  
论 lùn  
农 nóng  
讽 fěng  
设 shè  
访 fǎng  
寻 xún  
那 nà  
迅 xùn  
尽 jǐn  
导 dǎo  
异 yì  
孙 sūn  
阵 zhèn  
阳 yáng  
收 shōu  
阶 jiē  
阴 yīn  
防 fáng  
奸 jiān  
如 rú  
妇 fù  
好 hǎo  
她 tā  
妈 mā  
戏 xì  
羽 yǔ  
观 guān  
欢 huān  
买 mǎi  
红 hóng  
纤 xiān  
约 yuē  
级 jí  
纪 jì  
驰 chí 
巡 xún
邦 bāng  
迂 yū 
戎 róng 
芋 yù 
吕 lǚ  
伦 lún  
肋 lèi  
讳 huì 
讶 yà 
讼 sòng  
