寿 shòu  
弄 nòng  
麦 mài  
形 xíng  
进 jìn  
戒 jiè  
吞 tūn  
远 yuǎn  
违 wéi  
运 yùn  
扶 fú  
抚 fǔ  
坛 tán  
技 jì  
坏 huài  
扰 rǎo  
拒 jù  
找 zhǎo  
批 pī  
扯 chě  
址 zhǐ  
走 zǒu  
抄 chāo  
坝 bà  
贡 gòng  
攻 gōng  
赤 chì  
折 zhé  
抓 zhuā  
扮 bàn  
抢 qiǎng  
孝 xiào  
均 jūn  
抛 pāo  
投 tóu  
坟 fén  
抗 kàng  
坑 kēng  
坊 fāng  
抖 dǒu  
护 hù  
壳 ké  
志 zhì  
扭 niǔ  
块 kuài  
声 shēng  
把 bǎ  
报 bào  
却 què  
劫 jié  
芽 yá  
花 huā  
芹 qín  
芬 fēn  
苍 cāng  
芳 fāng  
严 yán  
芦 lú  
劳 láo  
克 kè  
苏 sū  
杆 gān  
杠 gàng  
杜 dù  
材 cái  
村 cūn  
杏 xìng  
极 jí  
李 lǐ  
杨 yáng  
求 qiú  
更 gèng  
束 shù  
豆 dòu  
两 liǎng  
丽 lì  
医 yī  
辰 chén  
励 lì  
否 fǒu  
还 hái  
歼 jiān  
来 lái  
连 lián  
步 bù  
坚 jiān  
旱 hàn  
盯 dīng  
呈 chéng  
时 shí  
吴 wú  
助 zhù  
县 xiàn  
里 lǐ  
呆 dāi  
园 yuán  
旷 kuàng  
围 wéi  
呀 yā  
吨 dūn  
足 zú  
邮 yóu  
男 nán  
困 kùn  
吵 chǎo  
串 chuàn  
员 yuán  
听 tīng  
吩 fēn  
吹 chuī  
呜 wū  
吧 ba  
吼 hǒu  
别 bié  
岗 gǎng  
帐 zhàng  
财 cái  
针 zhēn  
钉 dīng  
告 gào  
我 wǒ  
乱 luàn  
利 lì  
秃 tū  
秀 xiù  
私 sī  
每 měi  
兵 bīng  
估 gū  
体 tǐ  
何 hé  
但 dàn  
伸 shēn  
作 zuò  
伯 bó  
伶 líng  
佣 yōng  
低 dī  
你 nǐ  
住 zhù  
位 wèi  
伴 bàn  
身 shēn  
皂 zào  
佛 fó  
近 jìn  
彻 chè  
役 yì  
返 fǎn  
余 yú  
希 xī  
坐 zuò  
谷 gǔ  
妥 tuǒ  
含 hán  
邻 lín  
岔 chà  
肝 gān  
肚 dù  
肠 cháng  
龟 guī  
免 miǎn  
狂 kuáng  
犹 yóu  
角 jiǎo  
删 shān  
条 tiáo  
卵 luǎn  
岛 dǎo  
迎 yíng  
饭 fàn  
饮 yǐn  
系 xì  
言 yán  
冻 dòng  
状 zhuàng  
亩 mǔ  
况 kuàng  
床 chuáng  
库 kù  
疗 liáo  
应 yīng  
冷 lěng  
这 zhè  
序 xù  
辛 xīn  
弃 qì  
冶 yě  
忘 wàng  
闲 xián  
间 jiān  
闷 mèn  
判 pàn  
灶 zào  
灿 càn  
弟 dì  
汪 wāng  
沙 shā  
汽 qì  
沃 wò  
泛 fàn  
沟 gōu  
没 méi  
沈 shěn  
沉 chén  
怀 huái  
忧 yōu  
快 kuài  
完 wán  
宋 sòng  
宏 hóng  
牢 láo  
究 jiū  
穷 qióng  
灾 zāi  
良 liáng  
证 zhèng  
启 qǐ  
评 píng  
补 bǔ  
初 chū  
社 shè  
识 shí  
诉 sù  
诊 zhěn  
词 cí  
译 yì  
君 jūn  
灵 líng  
即 jí  
层 céng  
尿 niào  
尾 wěi  
迟 chí  
局 jú  
改 gǎi  
张 zhāng  
忌 jì  
际 jì  
陆 lù  
阿 ā  
陈 chén  
阻 zǔ  
附 fù  
妙 miào  
妖 yāo  
妨 fáng  
努 nǔ  
忍 rěn  
劲 jìn  
鸡 jī  
驱 qū  
纯 chún  
纱 shā  
纳 nà  
纲 gāng  
驳 bó  
纵 zòng  
纷 fēn  
纸 zhǐ  
纹 wén  
纺 fǎng  
驴 lǘ  
纽 niǔ  
