奉 fèng  
玩 wán  
环 huán  
武 wǔ  
青 qīng  
责 zé  
现 xiàn  
表 biǎo  
规 guī  
抹 mǒ  
拢 lǒng  
拔 bá  
拣 jiǎn  
担 dān  
坦 tǎn  
押 yā  
抽 chōu  
拐 guǎi  
拖 tuō  
拍 pāi  
者 zhě  
顶 dǐng  
拆 chāi  
拥 yōng  
抵 dǐ  
拘 jū  
势 shì  
抱 bào  
垃 lā  
拉 lā  
拦 lán  
拌 bàn  
幸 xìng  
招 zhāo  
坡 pō  
披 pī  
拨 bō  
择 zé  
抬 tái  
其 qí  
取 qǔ  
苦 kǔ  
若 ruò  
茂 mào  
苹 píng  
苗 miáo  
英 yīng  
范 fàn  
直 zhí  
茄 qié  
茎 jīng  
茅 máo  
林 lín  
枝 zhī  
杯 bēi  
柜 guì  
析 xī  
板 bǎn  
松 sōng  
枪 qiāng  
构 gòu  
杰 jié  
述 shù  
枕 zhěn  
丧 sàng  
或 huò  
画 huà  
卧 wò  
事 shì  
刺 cì  
枣 zǎo  
雨 yǔ  
卖 mài  
矿 kuàng  
码 mǎ  
厕 cè  
奔 bēn  
奇 qí  
奋 fèn  
态 tài  
欧 ōu  
垄 lǒng  
妻 qī  
轰 hōng  
顷 qǐng  
转 zhuǎn  
斩 zhǎn  
轮 lún  
软 ruǎn  
到 dào  
非 fēi  
叔 shū  
肯 kěn  
齿 chǐ  
些 xiē  
虎 hǔ  
虏 lǔ  
肾 shèn  
贤 xián  
尚 shàng  
旺 wàng  
具 jù  
果 guǒ  
味 wèi  
昆 kūn  
国 guó  
昌 chāng  
畅 chàng  
明 míng  
易 yì  
昂 áng  
典 diǎn  
固 gù  
忠 zhōng  
咐 fù  
呼 hū  
鸣 míng  
咏 yǒng  
呢 ne  
岸 àn  
岩 yán  
帖 tiě  
罗 luó  
帜 zhì  
岭 lǐng  
凯 kǎi  
败 bài  
贩 fàn  
购 gòu  
图 tú  
钓 diào  
制 zhì  
知 zhī  
垂 chuí  
牧 mù  
物 wù  
乖 guāi  
刮 guā  
秆 gǎn  
和 hé  
季 jì  
委 wěi  
佳 jiā  
侍 shì  
供 gōng  
使 shǐ  
例 lì  
版 bǎn  
侄 zhí  
侦 zhēn  
侧 cè  
凭 píng  
侨 qiáo  
佩 pèi  
货 huò  
依 yī  
的 de  
迫 pò  
质 zhì  
欣 xīn  
征 zhēng  
往 wǎng  
爬 pá  
彼 bǐ  
径 jìng  
所 suǒ  
舍 shè  
金 jīn  
命 mìng  
斧 fǔ  
爸 bà  
采 cǎi  
受 shòu  
乳 rǔ  
贪 tān  
念 niàn  
贫 pín  
肤 fū  
肺 fèi  
肢 zhī  
肿 zhǒng  
胀 zhàng  
朋 péng  
股 gǔ  
肥 féi  
服 fú  
胁 xié  
周 zhōu  
昏 hūn  
鱼 yú  
兔 tù  
狐 hú  
忽 hū  
狗 gǒu  
备 bèi  
饰 shì  
饱 bǎo  
饲 sì  
变 biàn  
京 jīng  
享 xiǎng  
店 diàn  
夜 yè  
庙 miào  
府 fǔ  
底 dǐ  
剂 jì  
郊 jiāo  
废 fèi  
净 jìng  
盲 máng  
放 fàng  
刻 kè  
育 yù  
闸 zhá  
闹 nào  
郑 zhèng  
券 quàn  
卷 juǎn  
单 dān  
炒 chǎo  
炊 chuī  
炕 kàng  
炎 yán  
炉 lú  
沫 mò  
浅 qiǎn  
法 fǎ  
泄 xiè  
河 hé  
沾 zhān  
泪 lèi  
油 yóu  
泊 bó  
沿 yán  
泡 pào  
注 zhù  
泻 xiè  
泳 yǒng  
泥 ní  
沸 fèi  
波 bō  
泼 pō  
泽 zé  
治 zhì  
怖 bù  
性 xìng  
怕 pà  
怜 lián  
怪 guài  
学 xué  
宝 bǎo  
宗 zōng  
定 dìng  
宜 yí  
审 shěn  
宙 zhòu  
官 guān  
空 kōng  
帘 lián  
实 shí  
试 shì  
郎 láng  
诗 shī  
肩 jiān  
房 fáng  
诚 chéng  
衬 chèn  
衫 shān  
视 shì  
话 huà  
诞 dàn  
询 xún  
该 gāi  
详 xiáng  
建 jiàn  
肃 sù  
录 lù  
隶 lì  
居 jū  
届 jiè  
刷 shuā  
屈 qū  
弦 xián  
承 chéng  
孟 mèng  
孤 gū  
陕 shǎn  
降 jiàng  
限 xiàn  
妹 mèi  
姑 gū  
姐 jiě  
姓 xìng  
始 shǐ  
驾 jià  
参 cān  
艰 jiān  
线 xiàn  
练 liàn  
组 zǔ  
细 xì  
驶 shǐ  
织 zhī  
终 zhōng  
驻 zhù  
驼 tuó  
绍 shào  
经 jīng  
贯 guàn
