奏 zòu  
春 chūn  
帮 bāng  
珍 zhēn  
玻 bō  
毒 dú  
型 xíng  
挂 guà  
封 fēng  
持 chí  
项 xiàng  
垮 kuǎ  
挎 kuà  
城 chéng  
挠 náo  
政 zhèng  
赴 fù  
赵 zhào  
挡 dǎng  
挺 tǐng  
括 kuò  
拴 shuān  
拾 shí  
挑 tiāo  
指 zhǐ  
垫 diàn  
挣 zhèng  
挤 jǐ  
拼 pīn  
挖 wā  
按 àn  
挥 huī  
挪 nuó  
某 mǒu  
甚 shèn  
革 gé  
荐 jiàn  
巷 xiàng  
带 dài  
草 cǎo  
茧 jiǎn  
茶 chá  
荒 huāng  
茫 máng  
荡 dàng  
荣 róng  
故 gù  
胡 hú  
南 nán  
药 yào  
标 biāo  
枯 kū  
柄 bǐng  
栋 dòng  
相 xiāng  
查 chá  
柏 bǎi  
柳 liǔ  
柱 zhù  
柿 shì  
栏 lán  
树 shù  
要 yào  
咸 xián  
威 wēi  
歪 wāi  
研 yán  
砖 zhuān  
厘 lí  
厚 hòu  
砌 qì  
砍 kǎn  
面 miàn  
耐 nài  
耍 shuǎ  
牵 qiān  
残 cán  
殃 yāng  
轻 qīng  
鸦 yā  
皆 jiē  
背 bèi  
战 zhàn  
点 diǎn  
临 lín  
览 lǎn  
竖 shù  
省 shěng  
削 xuē  
尝 cháng  
是 shì  
盼 pàn  
眨 zhǎ  
哄 hǒng  
显 xiǎn  
哑 yǎ  
冒 mào  
映 yìng  
星 xīng  
昨 zuó  
畏 wèi  
趴 pā  
胃 wèi  
贵 guì  
界 jiè  
虹 hóng  
虾 xiā  
蚁 yǐ  
思 sī  
蚂 mǎ  
虽 suī  
品 pǐn  
咽 yàn  
骂 mà  
哗 huá  
咱 zán  
响 xiǎng  
哈 hā  
咬 yǎo  
咳 ké  
哪 nǎ  
炭 tàn  
峡 xiá  
罚 fá  
贱 jiàn  
贴 tiē  
骨 gǔ  
钞 chāo  
钟 zhōng  
钢 gāng  
钥 yào  
钩 gōu  
卸 xiè  
缸 gāng  
拜 bài  
看 kàn  
矩 jǔ  
怎 zěn  
牲 shēng  
选 xuǎn  
适 shì  
秒 miǎo  
香 xiāng  
种 zhǒng  
秋 qiū  
科 kē  
重 zhòng  
复 fù  
竿 gān  
段 duàn  
便 biàn  
俩 liǎ  
贷 dài  
顺 shùn  
修 xiū  
保 bǎo  
促 cù  
侮 wǔ  
俭 jiǎn  
俗 sú  
俘 fú  
信 xìn  
皇 huáng  
泉 quán  
鬼 guǐ  
侵 qīn  
追 zhuī  
俊 jùn  
盾 dùn  
待 dài  
律 lǜ  
很 hěn  
须 xū  
叙 xù  
剑 jiàn  
逃 táo  
食 shí  
盆 pén  
胆 dǎn  
胜 shèng  
胞 bāo  
胖 pàng  
脉 mài  
勉 miǎn  
狭 xiá  
狮 shī  
独 dú  
狡 jiǎo  
狱 yù  
狠 hěn  
贸 mào  
怨 yuàn  
急 jí  
饶 ráo  
蚀 shí  
饺 jiǎo  
饼 bǐng  
弯 wān  
将 jiāng  
奖 jiǎng  
哀 āi  
亭 tíng  
亮 liàng  
度 dù  
迹 jì  
庭 tíng  
疮 chuāng  
疯 fēng  
疫 yì  
疤 bā  
姿 zī  
亲 qīn  
音 yīn  
帝 dì  
施 shī  
闻 wén  
阀 fá  
阁 gé  
差 chà  
养 yǎng  
美 měi  
姜 jiāng  
叛 pàn  
送 sòng  
类 lèi  
迷 mí  
前 qián  
首 shǒu  
逆 nì  
总 zǒng  
炼 liàn  
炸 zhà  
炮 pào  
烂 làn  
剃 tì  
洁 jié  
洪 hóng  
洒 sǎ  
浇 jiāo  
浊 zhuó  
洞 dòng  
测 cè  
洗 xǐ  
活 huó  
派 pài  
洽 qià  
染 rǎn  
济 jì  
洋 yáng  
洲 zhōu  
浑 hún  
浓 nóng  
津 jīn  
恒 héng  
恢 huī  
恰 qià  
恼 nǎo  
恨 hèn  
举 jǔ  
觉 jué  
宣 xuān  
室 shì  
宫 gōng  
宪 xiàn  
突 tū  
穿 chuān  
窃 qiè  
客 kè  
冠 guān  
语 yǔ  
扁 biǎn  
袄 ǎo  
祖 zǔ  
神 shén  
祝 zhù  
误 wù  
诱 yòu  
说 shuō  
诵 sòng  
垦 kěn  
退 tuì  
既 jì  
屋 wū  
昼 zhòu  
费 fèi  
陡 dǒu  
眉 méi  
孩 hái  
除 chú  
险 xiǎn  
院 yuàn  
娃 wá  
姥 lǎo  
姨 yí  
姻 yīn  
娇 jiāo  
怒 nù  
架 jià  
贺 hè  
盈 yíng  
勇 yǒng  
怠 dài  
柔 róu  
垒 lěi  
绑 bǎng  
绒 róng  
结 jié  
绕 rào  
骄 jiāo  
绘 huì  
给 gěi  
络 luò  
骆 luò  
绝 jué  
绞 jiǎo  
统 tǒng
