耕 gēng  
耗 hào  
艳 yàn  
泰 tài  
珠 zhū  
班 bān  
素 sù  
蚕 cán  
顽 wán  
盏 zhǎn  
匪 fěi  
捞 lāo  
栽 zāi  
捕 bǔ  
振 zhèn  
载 zài  
赶 gǎn  
起 qǐ  
盐 yán  
捎 shāo  
捏 niē  
埋 mái  
捉 zhuō  
捆 kǔn  
捐 juān  
损 sǔn  
都 dōu  
哲 zhé  
逝 shì  
捡 jiǎn  
换 huàn  
挽 wǎn  
热 rè  
恐 kǒng  
壶 hú  
挨 āi  
耻 chǐ  
耽 dān  
恭 gōng  
莲 lián  
莫 mò  
荷 hé  
获 huò  
晋 jìn  
恶 è  
真 zhēn  
框 kuàng  
桂 guì  
档 dàng  
桐 tóng  
株 zhū  
桥 qiáo  
桃 táo  
格 gé  
校 xiào  
核 hé  
样 yàng  
根 gēn  
索 suǒ  
哥 gē  
速 sù  
逗 dòu  
栗 lì  
配 pèi  
翅 chì  
辱 rǔ  
唇 chún  
夏 xià  
础 chǔ  
破 pò  
原 yuán  
套 tào  
逐 zhú  
烈 liè  
殊 shū  
顾 gù  
轿 jiào  
较 jiào  
顿 dùn  
毙 bì  
致 zhì  
柴 chái  
桌 zhuō  
虑 lǜ  
监 jiān  
紧 jǐn  
党 dǎng  
晒 shài  
眠 mián  
晓 xiǎo  
鸭 yā  
晃 huǎng  
晌 shǎng  
晕 yūn  
蚊 wén  
哨 shào  
哭 kū  
恩 ēn  
唤 huàn  
啊 ā  
唉 āi  
罢 bà  
峰 fēng  
圆 yuán  
贼 zéi  
贿 huì  
钱 qián  
钳 qián  
钻 zuān  
铁 tiě  
铃 líng  
铅 qiān  
缺 quē  
氧 yǎng  
特 tè  
牺 xī  
造 zào  
乘 chéng  
敌 dí  
秤 chèng  
租 zū  
积 jī  
秧 yāng  
秩 zhì  
称 chēng  
秘 mì  
透 tòu  
笔 bǐ  
笑 xiào  
笋 sǔn  
债 zhài  
借 jiè  
值 zhí  
倚 yǐ  
倾 qīng  
倒 dǎo  
倘 tǎng  
俱 jù  
倡 chàng  
候 hòu  
俯 fǔ  
倍 bèi  
倦 juàn  
健 jiàn  
臭 chòu  
射 shè  
躬 gōng  
息 xī  
徒 tú  
徐 xú  
舰 jiàn  
舱 cāng  
般 bān  
航 háng  
途 tú  
拿 ná  
爹 diē  
爱 ài  
颂 sòng  
翁 wēng  
脆 cuì  
脂 zhī  
胸 xiōng  
胳 gē  
脏 zàng  
胶 jiāo  
脑 nǎo  
狸 lí  
狼 láng  
逢 féng  
留 liú  
皱 zhòu  
饿 è  
恋 liàn  
桨 jiǎng  
浆 jiāng  
衰 shuāi  
高 gāo  
席 xí  
准 zhǔn  
座 zuò  
脊 jǐ  
症 zhèng  
病 bìng  
疾 jí  
疼 téng  
疲 pí  
效 xiào  
离 lí  
唐 táng  
资 zī  
凉 liáng  
站 zhàn  
剖 pōu  
竞 jìng  
部 bù  
旁 páng  
旅 lǚ  
畜 chù  
阅 yuè  
羞 xiū  
瓶 píng  
拳 quán  
粉 fěn  
料 liào  
益 yì  
兼 jiān  
烤 kǎo  
烘 hōng  
烦 fán  
烧 shāo  
烛 zhú  
烟 yān  
递 dì  
涛 tāo  
浙 zhè  
涝 lào  
酒 jiǔ  
涉 shè  
消 xiāo  
浩 hào  
海 hǎi  
涂 tú  
浴 yù  
浮 fú  
流 liú  
润 rùn  
浪 làng  
浸 jìn  
涨 zhǎng  
烫 tàng  
涌 yǒng  
悟 wù  
悄 qiāo  
悔 huǐ  
悦 yuè  
害 hài  
宽 kuān  
家 jiā  
宵 xiāo  
宴 yàn  
宾 bīn  
窄 zhǎi  
容 róng  
宰 zǎi  
案 àn  
请 qǐng  
朗 lǎng  
诸 zhū  
读 dú  
扇 shàn  
袜 wà  
袖 xiù  
袍 páo  
被 bèi  
祥 xiáng  
课 kè  
谁 shuí  
调 tiáo  
冤 yuān  
谅 liàng  
谈 tán  
谊 yì  
剥 bāo  
恳 kěn  
展 zhǎn  
剧 jù  
屑 xiè  
弱 ruò  
陵 líng  
陶 táo  
陷 xiàn  
陪 péi  
娱 yú  
娘 niáng  
通 tōng  
能 néng  
难 nán  
预 yù  
桑 sāng  
绢 juàn  
绣 xiù  
验 yàn  
继 jì 
