球 qiú  
理 lǐ  
捧 pěng  
堵 dǔ  
描 miáo  
域 yù  
掩 yǎn  
捷 jié  
排 pái  
掉 diào  
堆 duī  
推 tuī  
掀 xiān  
授 shòu  
教 jiào  
掏 tāo  
掠 lüè  
培 péi  
接 jiē  
控 kòng  
探 tàn  
据 jù  
掘 jué  
职 zhí  
基 jī  
著 zhù  
勒 lè  
黄 huáng  
萌 méng  
萝 luó  
菌 jūn  
菜 cài  
萄 táo  
菊 jú  
萍 píng  
菠 bō  
营 yíng  
械 xiè  
梦 mèng  
梢 shāo  
梅 méi  
检 jiǎn  
梳 shū  
梯 tī  
桶 tǒng  
救 jiù  
副 fù  
票 piào  
戚 qī  
爽 shuǎng  
聋 lóng  
袭 xí  
盛 shèng  
雪 xuě  
辅 fǔ  
辆 liàng  
虚 xū  
雀 què  
堂 táng  
常 cháng  
匙 chí  
晨 chén  
睁 zhēng  
眯 mī  
眼 yǎn  
悬 xuán  
野 yě  
啦 lā  
晚 wǎn  
啄 zhuó  
距 jù  
跃 yuè  
略 lüè  
蛇 shé  
累 lèi  
唱 chàng  
患 huàn  
唯 wéi  
崖 yá  
崭 zhǎn  
崇 chóng  
圈 quān  
铜 tóng  
铲 chǎn  
银 yín  
甜 tián  
梨 lí  
犁 lí  
移 yí  
笨 bèn  
笼 lóng  
笛 dí  
符 fú  
第 dì  
敏 mǐn  
做 zuò  
袋 dài  
悠 yōu  
偿 cháng  
偶 ǒu  
偷 tōu  
您 nín  
售 shòu  
停 tíng  
偏 piān  
假 jiǎ  
得 dé  
衔 xián  
盘 pán  
船 chuán  
斜 xié  
盒 hé  
鸽 gē  
悉 xī  
欲 yù  
彩 cǎi  
领 lǐng  
脚 jiǎo  
脖 bó  
脸 liǎn  
脱 tuō  
象 xiàng  
够 gòu  
猜 cāi  
猪 zhū  
猎 liè  
猫 māo  
猛 měng  
馅 xiàn  
馆 guǎn  
凑 còu  
减 jiǎn  
毫 háo  
麻 má  
痒 yǎng  
痕 hén  
廊 láng  
康 kāng  
庸 yōng  
鹿 lù  
盗 dào  
章 zhāng  
竟 jìng  
商 shāng  
族 zú  
旋 xuán  
望 wàng  
率 shuài  
着 zhuó  
盖 gài  
粘 nián  
粗 cū  
粒 lì  
断 duàn  
剪 jiǎn  
兽 shòu  
清 qīng  
添 tiān  
淋 lín  
淹 yān  
渠 qú  
渐 jiàn  
混 hùn  
渔 yú  
淘 táo  
液 yè  
淡 dàn  
深 shēn  
婆 pó  
梁 liáng  
渗 shèn  
情 qíng  
惜 xī  
惭 cán  
悼 dào  
惧 jù  
惕 tì  
惊 jīng  
惨 cǎn  
惯 guàn  
寇 kòu  
寄 jì  
宿 sù  
窑 yáo  
密 mì  
谋 móu  
谎 huǎng  
祸 huò  
谜 mí  
逮 dài  
敢 gǎn  
屠 tú  
弹 dàn  
随 suí  
蛋 dàn  
隆 lóng  
隐 yǐn  
婚 hūn  
婶 shěn  
颈 jǐng  
绩 jì  
绪 xù  
续 xù  
骑 qí  
绳 shéng  
维 wéi  
绵 mián  
绸 chóu  
绿 lǜ  
